INPUT:query	INPUT:image_url	INPUT:search_url	INPUT:image_ext_id	GOLDEN:result	TASK:id	TASK:overlap	TASK:assignments_count	TASK:correct_answers_percent
vans	https://storage.yandexcloud.net/aaa-project-100/44545377365.jpg	https://www.google.ru/search?q=vans	44545377365	irrelevant	0000488072--6849749f47006c7b78d6e749	infinite	18	94.44444
vans	https://storage.yandexcloud.net/aaa-project-100/44595425444.jpg	https://www.google.ru/search?q=vans	44595425444	irrelevant	0000488072--6849749f47006c7b78d6e74a	infinite	14	100.0
худи g59	https://storage.yandexcloud.net/aaa-project-100/44548618894.jpg	https://www.google.ru/search?q=худи g59	44548618894	irrelevant	0000488072--6849749f47006c7b78d6e74b	infinite	13	100.0
худи g59	https://storage.yandexcloud.net/aaa-project-100/41841790263.jpg	https://www.google.ru/search?q=худи g59	41841790263	irrelevant	0000488072--6849749f47006c7b78d6e74f	infinite	23	95.652176
худи g59	https://storage.yandexcloud.net/aaa-project-100/44553217065.jpg	https://www.google.ru/search?q=худи g59	44553217065	irrelevant	0000488072--6849749f47006c7b78d6e750	infinite	17	94.117645
худи g59	https://storage.yandexcloud.net/aaa-project-100/44554926644.jpg	https://www.google.ru/search?q=худи g59	44554926644	irrelevant	0000488072--6849749f47006c7b78d6e751	infinite	17	88.23529
худи g59	https://storage.yandexcloud.net/aaa-project-100/44552284325.jpg	https://www.google.ru/search?q=худи g59	44552284325	irrelevant	0000488072--6849749f47006c7b78d6e753	infinite	25	100.0
нарядное	https://storage.yandexcloud.net/aaa-project-100/44570635786.jpg	https://www.google.ru/search?q=нарядное	44570635786	irrelevant	0000488072--6849749f47006c7b78d6e755	infinite	18	100.0
нарядное	https://storage.yandexcloud.net/aaa-project-100/44540846828.jpg	https://www.google.ru/search?q=нарядное	44540846828	irrelevant	0000488072--6849749f47006c7b78d6e758	infinite	18	100.0
нарядное	https://storage.yandexcloud.net/aaa-project-100/44601068587.jpg	https://www.google.ru/search?q=нарядное	44601068587	irrelevant	0000488072--6849749f47006c7b78d6e75a	infinite	24	100.0
нарядное	https://storage.yandexcloud.net/aaa-project-100/44568501929.jpg	https://www.google.ru/search?q=нарядное	44568501929	irrelevant	0000488072--6849749f47006c7b78d6e75b	infinite	23	86.95652
нарядное	https://storage.yandexcloud.net/aaa-project-100/44578054930.jpg	https://www.google.ru/search?q=нарядное	44578054930	irrelevant	0000488072--6849749f47006c7b78d6e75c	infinite	14	92.85714
худи антифа	https://storage.yandexcloud.net/aaa-project-100/44450338878.jpg	https://www.google.ru/search?q=худи антифа	44450338878	irrelevant	0000488072--68497c2147006c7b78d955cf	infinite	23	82.608696
